Customer Number,Offer Accepted,Reward,Mailer Type,Income Level,Bank Accounts Open,Overdraft Protection,Credit Rating,Credit Cards Held,Homes Owned,Household Size,Own Your Home,Average Balance
10255,No,Cash Back,Letter,Low,1,No,High,2,1,4,No,1087
10256,Yes,Cash Back,Postcard,Low,3,No,Low,3,1,2,Yes,1058.25
10257,No,Points,Letter,Medium,1,No,Medium,2,2,6,No,780.25
10258,No,Air Miles,Letter,Medium,1,No,Low,2,1,4,Yes,755.25
10259,No,Points,Postcard,Medium,1,No,High,2,1,4,Yes,1361.5
10260,No,Air Miles,Postcard,High,2,No,High,1,1,2,Yes,1434
10261,Yes,Air Miles,Postcard,Low,1,No,Low,1,2,3,Yes,1280
10262,No,Points,Postcard,High,1,No,Medium,2,2,5,Yes,962.75
10263,No,Cash Back,Postcard,Medium,2,Yes,Medium,2,1,3,No,996.25
10264,No,Points,Postcard,Medium,1,Yes,Medium,1,1,3,Yes,1258.5
10265,Yes,Points,Postcard,Medium,2,No,Medium,1,1,2,Yes,1216.25
10266,No,Points,Letter,Medium,1,No,Low,1,1,3,No,1233.25
10267,No,Cash Back,Postcard,Medium,1,No,Low,2,1,3,Yes,1144.75
10268,No,Air Miles,Postcard,Medium,2,No,Medium,3,2,3,No,234
10269,Yes,Air Miles,Postcard,Medium,2,No,Medium,1,1,5,Yes,1184.5
10270,No,Cash Back,Postcard,Low,2,No,Medium,3,1,5,No,1086.75
10271,No,Cash Back,Postcard,Medium,1,No,Medium,1,1,4,No,1135
10272,No,Air Miles,Letter,High,1,No,Low,1,1,6,Yes,997.5
10273,No,Cash Back,Letter,Medium,1,No,High,3,1,3,Yes,1044.75
10274,No,Cash Back,Postcard,Low,1,No,High,2,1,4,Yes,944.25
10275,No,Cash Back,Postcard,Medium,2,No,Medium,1,1,3,Yes,1394.75
10276,No,Points,Letter,Medium,1,No,High,2,1,3,No,1101.75
10277,No,Points,Postcard,High,1,No,Medium,2,1,4,Yes,1521
10278,No,Air Miles,Letter,High,1,Yes,Low,2,2,4,Yes,315.75
10279,No,Points,Letter,Low,1,No,Low,1,2,4,No,932.75
10280,No,Air Miles,Letter,Medium,1,No,Low,1,1,3,Yes,1024.5
10281,No,Air Miles,Letter,Medium,1,No,Medium,1,2,3,Yes,1484.5
10282,No,Points,Postcard,High,1,No,High,1,1,3,No,144.25
10283,No,Cash Back,Postcard,High,1,No,Low,2,1,2,Yes,992
10284,No,Air Miles,Letter,High,2,No,High,1,1,5,Yes,1239.75
10285,No,Air Miles,Letter,Medium,1,No,Low,1,1,2,Yes,1253.5
10286,No,Points,Letter,High,1,Yes,Medium,3,2,3,Yes,980.75
10287,No,Air Miles,Letter,Medium,1,No,High,2,2,4,No,874.75
10288,No,Air Miles,Postcard,Low,2,No,Medium,2,1,4,Yes,917.75
10289,No,Cash Back,Letter,High,1,No,Low,2,1,2,Yes,687.25
10290,No,Air Miles,Letter,Low,2,Yes,Low,4,2,3,Yes,1020
10291,Yes,Points,Postcard,Medium,1,No,Low,1,1,3,Yes,791.75
10292,No,Cash Back,Postcard,Medium,2,No,High,2,1,4,Yes,699
10293,No,Points,Postcard,Medium,2,Yes,High,1,1,2,Yes,1022.25
10294,No,Air Miles,Letter,High,1,No,High,2,2,4,Yes,247
10295,No,Air Miles,Postcard,High,1,Yes,High,3,1,3,Yes,869
10296,No,Cash Back,Postcard,High,1,No,Low,2,1,3,Yes,1181.25
10297,No,Cash Back,Letter,Medium,2,No,Low,2,1,4,Yes,967.25
10298,No,Air Miles,Postcard,Low,2,Yes,Low,1,1,4,Yes,984.25
10299,No,Cash Back,Letter,Low,2,No,Low,4,2,5,Yes,179.25
10300,No,Cash Back,Letter,Medium,2,No,Medium,3,1,4,No,881.25
10301,Yes,Cash Back,Postcard,Medium,2,No,Low,3,1,3,Yes,876
10302,No,Cash Back,Letter,High,1,No,Low,3,1,3,Yes,214.5
10303,No,Cash Back,Letter,Low,2,No,High,2,1,3,Yes,1040.5
10304,No,Points,Letter,Medium,1,No,High,2,1,4,No,953.25
10305,No,Air Miles,Postcard,Medium,1,Yes,Low,2,1,2,Yes,1522.25
10306,No,Cash Back,Letter,Medium,1,No,High,3,2,4,Yes,1125
10307,Yes,Air Miles,Postcard,Low,1,Yes,High,1,1,4,Yes,1162.25
10308,No,Cash Back,Letter,Medium,2,No,Medium,3,1,4,Yes,182.75
10309,No,Air Miles,Postcard,High,2,No,High,1,2,4,No,1148
10310,No,Cash Back,Letter,Medium,2,No,High,2,1,3,Yes,1214.75
10311,No,Air Miles,Postcard,Medium,1,No,Medium,3,1,2,No,1075.25
10312,No,Points,Letter,Medium,1,No,Medium,1,1,3,No,998.5
10313,No,Points,Letter,Low,2,No,Low,1,1,4,Yes,1234.25
10314,No,Points,Letter,High,2,No,Low,2,1,6,No,1193.5
10315,No,Cash Back,Letter,Medium,1,No,Medium,3,1,5,Yes,1068.75
10316,No,Air Miles,Letter,Medium,1,No,Medium,1,1,4,Yes,189
10317,No,Cash Back,Letter,High,1,No,High,2,1,4,No,1005
10318,No,Points,Postcard,High,2,Yes,High,1,1,3,Yes,981.25
10319,No,Points,Postcard,Medium,1,No,High,1,1,2,Yes,1110.75
10320,No,Air Miles,Postcard,Medium,1,No,High,1,2,4,No,1286.25
10321,No,Cash Back,Letter,Low,2,No,Low,3,3,3,Yes,1442.75
10322,No,Points,Letter,Medium,1,No,Low,3,1,5,Yes,1247.25
10323,No,Points,Letter,Low,1,No,Low,3,1,4,Yes,1158.75
10324,No,Air Miles,Postcard,Medium,1,No,High,2,1,4,Yes,1026.25
10325,No,Points,Postcard,Medium,1,No,High,1,1,3,Yes,934.5
10326,No,Cash Back,Letter,High,1,No,Medium,2,1,3,Yes,896
10327,No,Cash Back,Postcard,Medium,1,No,High,1,1,4,Yes,1190.25
10328,No,Points,Postcard,Medium,1,No,High,2,1,3,No,915
10329,No,Air Miles,Letter,Medium,1,No,Low,3,1,2,Yes,1463.5
10330,No,Cash Back,Letter,High,1,No,Medium,1,1,4,No,1101.75
10331,No,Cash Back,Letter,Medium,2,No,Low,3,1,5,No,1205.25
10332,No,Points,Postcard,Low,1,No,Medium,1,2,5,Yes,1151.75
10333,No,Points,Postcard,Medium,1,No,Medium,1,1,3,Yes,185.25
10334,No,Air Miles,Letter,High,1,Yes,Low,2,1,3,No,778.75
10335,No,Points,Postcard,High,1,No,High,1,1,5,Yes,180.25
10336,No,Cash Back,Postcard,High,1,Yes,Low,3,1,4,No,150.5
10337,No,Air Miles,Postcard,Medium,1,Yes,Low,1,1,2,No,1036
10338,No,Points,Letter,High,2,No,Low,1,1,4,Yes,899.25
10339,No,Cash Back,Postcard,Low,1,Yes,Low,3,1,3,Yes,1190
10340,No,Points,Postcard,Medium,1,No,Medium,1,1,5,Yes,916.75
10341,No,Points,Postcard,Low,1,No,High,2,1,3,Yes,1162.5
10342,No,Points,Letter,High,2,Yes,Medium,2,1,4,Yes,1099.25
10343,Yes,Points,Postcard,Low,1,Yes,Low,2,1,4,No,729.75
10344,No,Air Miles,Postcard,Low,1,No,High,2,1,3,Yes,647.25
10345,No,Points,Letter,Medium,1,No,Medium,2,1,5,No,687
10346,No,Points,Postcard,Medium,2,No,High,2,1,5,No,1277.75
10347,No,Air Miles,Postcard,Low,1,No,Medium,2,2,1,No,251.75
10348,No,Air Miles,Letter,Medium,1,No,High,1,1,5,Yes,1122
10349,No,Cash Back,Letter,Medium,1,No,Medium,2,1,3,No,1038.75
10350,No,Air Miles,Letter,Medium,2,Yes,Medium,2,1,4,No,1319.25
10351,No,Cash Back,Letter,Medium,1,No,High,1,1,4,Yes,1111.25
10352,Yes,Air Miles,Postcard,Low,1,No,Low,3,1,3,Yes,1062.25
10353,No,Air Miles,Postcard,Medium,1,No,High,1,1,3,No,993.5
10354,No,Cash Back,Postcard,Medium,1,No,Low,2,1,4,Yes,1263
10355,No,Air Miles,Postcard,Medium,1,Yes,Medium,1,1,3,Yes,1470.25
10356,No,Cash Back,Letter,Medium,1,Yes,Low,2,1,2,Yes,1026.5
10357,Yes,Points,Postcard,Medium,2,No,High,3,1,3,No,1065.25
10358,No,Air Miles,Letter,High,1,No,High,3,1,5,No,701.75
10359,No,Air Miles,Letter,Medium,2,No,Low,1,2,3,Yes,703.5
10360,No,Cash Back,Postcard,Medium,1,No,Medium,3,1,3,Yes,930.75
10361,No,Air Miles,Postcard,Medium,2,No,Low,3,1,3,Yes,937
10362,No,Cash Back,Letter,Medium,1,No,Low,2,2,6,Yes,324.75
10363,No,Air Miles,Postcard,Medium,1,No,High,1,1,3,Yes,1182
10364,No,Air Miles,Letter,Medium,2,No,High,2,1,4,No,919.5
10365,No,Points,Postcard,Medium,1,No,Low,2,1,2,Yes,1257.25
10366,No,Cash Back,Postcard,Medium,1,No,Low,2,2,4,Yes,249.75
10367,No,Air Miles,Letter,High,2,No,High,3,1,6,Yes,983
10368,No,Air Miles,Postcard,Medium,1,No,Medium,2,1,4,Yes,969.5
10369,No,Points,Letter,Medium,1,No,Medium,1,1,2,Yes,990
10370,No,Cash Back,Letter,High,1,No,High,2,2,4,No,822
10371,No,Cash Back,Postcard,High,1,No,High,1,1,3,Yes,1428.5
10372,No,Air Miles,Postcard,Medium,1,No,Medium,2,1,3,Yes,1028.25
10373,No,Cash Back,Letter,Medium,1,No,Medium,3,1,4,Yes,1129.25
10374,No,Air Miles,Letter,Low,1,No,High,2,1,2,No,820
10375,No,Points,Letter,High,1,No,Low,2,1,5,Yes,1161.75
10376,No,Air Miles,Postcard,Medium,1,No,Medium,1,1,4,No,1092.75
10377,No,Air Miles,Letter,High,1,Yes,High,2,2,4,Yes,1033.25
10378,No,Cash Back,Letter,Medium,2,No,Low,3,1,2,Yes,1029.75
10379,No,Points,Letter,Medium,2,No,Low,4,2,2,Yes,1421.75
10380,No,Air Miles,Letter,Medium,1,No,Low,1,1,4,No,1022
10381,Yes,Air Miles,Postcard,Medium,1,No,High,2,1,5,Yes,1214.25
10382,No,Points,Letter,Medium,1,No,High,3,2,3,Yes,1194.25
10383,No,Points,Letter,Low,1,No,Medium,2,1,2,Yes,262
10384,Yes,Air Miles,Postcard,Low,1,Yes,Medium,2,1,3,Yes,814
10385,No,Points,Postcard,High,1,No,Medium,2,1,4,Yes,1060.25
10386,No,Points,Letter,Medium,2,No,Low,1,1,4,Yes,313
10387,No,Points,Letter,Medium,2,No,Low,2,1,3,Yes,1295.25
10388,No,Cash Back,Letter,Medium,1,No,Low,2,1,3,Yes,1081.5
10389,No,Air Miles,Letter,Medium,1,No,Medium,2,1,1,No,151
10390,No,Points,Postcard,Medium,1,No,High,2,1,2,No,1220.25
10391,No,Points,Postcard,High,1,No,Low,2,1,2,Yes,266.25
10392,No,Points,Postcard,High,2,No,High,1,1,1,Yes,1265.5
10393,No,Cash Back,Letter,Medium,1,No,Medium,2,2,3,Yes,1070
10394,No,Cash Back,Letter,Medium,2,No,High,2,1,3,Yes,1152.5
10395,No,Air Miles,Postcard,Low,1,No,Low,1,1,2,Yes,914.75
10396,No,Air Miles,Letter,Medium,1,No,Low,2,1,3,Yes,310.25
10397,No,Air Miles,Postcard,Medium,1,No,Medium,2,1,4,No,852
10398,No,Cash Back,Postcard,High,1,No,Medium,2,1,4,Yes,1345
10399,No,Cash Back,Letter,High,3,No,Low,3,2,4,Yes,728.75
10400,No,Cash Back,Letter,Medium,1,No,Low,2,2,3,Yes,182
10401,No,Cash Back,Letter,Medium,1,No,Medium,2,1,5,Yes,1036.25
10402,No,Points,Letter,Medium,1,No,High,2,1,3,Yes,887.5
10403,No,Cash Back,Letter,High,1,No,Medium,2,1,3,Yes,1190.25
10404,No,Air Miles,Letter,Low,1,No,Low,2,1,4,No,987.25
10405,Yes,Cash Back,Postcard,Medium,1,No,Low,1,1,2,Yes,1049.75
10406,No,Air Miles,Postcard,Medium,1,No,High,2,1,4,No,955
10407,No,Points,Letter,High,1,No,Medium,2,1,3,No,1106.25
10408,No,Air Miles,Letter,Low,1,No,Medium,1,1,2,Yes,1006.5
10409,No,Points,Letter,Medium,2,No,Low,2,1,3,Yes,769
10410,No,Air Miles,Letter,Medium,2,No,Medium,2,1,3,No,949.25
10411,No,Air Miles,Postcard,Low,1,No,Medium,2,2,6,Yes,958.75
10412,No,Cash Back,Letter,High,2,No,High,2,1,3,Yes,345.75
10413,No,Points,Letter,Medium,1,Yes,Low,2,1,3,Yes,972
10414,No,Cash Back,Letter,Medium,1,No,Medium,3,1,3,Yes,674.5
10415,No,Points,Letter,High,2,No,Medium,1,1,3,No,1136.25
10416,No,Air Miles,Postcard,High,1,Yes,Medium,1,1,2,Yes,902
10417,No,Cash Back,Postcard,Medium,1,Yes,Low,1,1,4,Yes,787.75
10418,No,Air Miles,Postcard,Medium,1,No,Low,1,1,3,No,787
10419,No,Points,Letter,Medium,1,No,Medium,2,1,5,Yes,1283.75
10420,No,Points,Postcard,Medium,1,No,Low,2,1,3,No,344.5
10421,No,Cash Back,Postcard,Low,2,No,Low,1,1,4,No,1379.25
10422,No,Air Miles,Letter,Medium,1,No,Medium,1,1,3,No,992.5
10423,No,Air Miles,Letter,Medium,1,No,Low,1,1,2,No,1065.25
10424,No,Cash Back,Postcard,Medium,1,Yes,Low,2,1,4,Yes,950.5
10425,No,Cash Back,Letter,High,1,Yes,Low,1,1,4,Yes,1112.75
10426,No,Cash Back,Postcard,Medium,1,No,High,1,2,2,Yes,936
10427,No,Cash Back,Postcard,High,1,No,High,1,1,4,No,1064.5
10428,No,Cash Back,Letter,Medium,2,No,High,2,1,5,No,1179.25
10429,No,Points,Postcard,High,1,No,High,2,1,3,Yes,964
10430,No,Points,Postcard,Low,1,No,High,3,1,2,No,338.5
10431,No,Points,Postcard,High,1,No,Medium,3,1,4,Yes,1293
10432,No,Air Miles,Letter,High,1,No,Low,3,1,2,No,1092.5
10433,No,Air Miles,Postcard,Low,1,Yes,High,3,2,3,Yes,1055
10434,No,Air Miles,Letter,Medium,2,Yes,Low,2,1,3,Yes,1173.25
10435,No,Points,Postcard,High,2,No,Medium,2,1,3,No,1002
10436,No,Cash Back,Letter,High,1,No,Low,4,1,4,Yes,398.75
10437,No,Points,Letter,Low,1,No,Medium,2,1,4,Yes,1134.75
10438,No,Points,Letter,High,1,Yes,Medium,2,1,3,Yes,1161.75
10439,No,Points,Letter,Medium,2,Yes,High,2,1,4,No,1203.75
10440,No,Air Miles,Letter,High,2,Yes,Low,2,1,2,No,1308.75
10441,No,Cash Back,Postcard,High,1,No,High,2,1,4,Yes,1012.75
10442,No,Air Miles,Postcard,Low,2,Yes,Medium,1,1,3,Yes,715.75
10443,Yes,Points,Postcard,Medium,1,No,High,3,1,3,Yes,802.5
10444,No,Cash Back,Letter,High,1,No,High,2,2,5,No,1170.25
10445,No,Points,Letter,Medium,1,No,Medium,2,1,2,Yes,1134.5
10446,No,Cash Back,Letter,Low,1,No,High,1,1,2,No,1182.75
10447,Yes,Air Miles,Postcard,Low,2,No,Medium,3,1,3,Yes,1300.25
10448,No,Cash Back,Letter,High,2,No,Low,1,1,3,No,254
10449,No,Cash Back,Letter,Medium,2,No,Low,1,1,5,No,728
10450,No,Air Miles,Postcard,Low,1,Yes,Low,1,1,4,No,1033.25
10451,No,Cash Back,Letter,Low,1,No,Medium,2,3,1,Yes,1680.25
10452,No,Air Miles,Letter,Low,1,No,Low,2,2,4,No,346
10453,No,Cash Back,Letter,High,1,Yes,Medium,2,1,5,No,1072.25
10454,No,Cash Back,Letter,Medium,1,No,Medium,3,1,2,Yes,276.25
10455,No,Points,Postcard,Low,2,No,Medium,2,1,2,No,1318.5
10456,No,Air Miles,Postcard,Medium,2,No,Low,3,1,4,Yes,1366.5
10457,No,Cash Back,Letter,Low,1,Yes,Low,2,1,5,No,1208.5
10458,No,Air Miles,Letter,Medium,1,No,Medium,3,1,4,No,1239.5
10459,No,Cash Back,Letter,Medium,1,Yes,Low,1,1,3,No,760.25
10460,No,Points,Letter,High,2,No,Low,1,1,4,No,123.5
10461,No,Points,Postcard,Medium,1,No,High,3,1,4,Yes,931.25
10462,No,Points,Postcard,Medium,3,No,Low,3,1,3,Yes,1077.25
10463,No,Cash Back,Letter,Medium,1,Yes,High,1,1,4,Yes,1139.5
10464,No,Air Miles,Postcard,Medium,1,No,Medium,3,1,2,Yes,764
10465,Yes,Points,Postcard,Medium,1,No,Medium,1,3,3,Yes,297.25
10466,No,Points,Letter,High,2,No,Low,2,1,4,Yes,710
10467,No,Air Miles,Letter,High,1,No,High,3,1,3,Yes,977
10468,No,Air Miles,Letter,Low,2,Yes,High,3,1,3,No,1425.25
10469,No,Cash Back,Letter,Medium,2,No,Low,2,1,4,No,703.5
10470,No,Cash Back,Postcard,Medium,1,No,Low,2,1,4,No,1106.5
10471,No,Cash Back,Postcard,High,1,No,High,2,1,4,No,1142
10472,No,Cash Back,Postcard,High,1,No,Low,1,1,2,Yes,966.25
10473,No,Air Miles,Letter,Low,1,Yes,High,3,1,4,Yes,265
10474,No,Cash Back,Postcard,Medium,2,No,High,1,2,4,Yes,1412
10475,No,Air Miles,Letter,Medium,2,No,Low,2,1,3,No,1116.75
10476,No,Air Miles,Letter,Medium,1,Yes,High,1,1,4,Yes,2430
10477,No,Points,Letter,Medium,1,No,Low,3,1,4,Yes,805.75
10478,No,Air Miles,Postcard,Medium,2,No,High,1,1,2,Yes,1265.25
10479,No,Cash Back,Postcard,High,1,No,Medium,3,1,5,Yes,1215.75
10480,No,Air Miles,Postcard,Medium,1,No,High,2,3,4,Yes,972.75
10481,No,Cash Back,Letter,High,1,No,High,1,1,6,Yes,1463.5
10482,No,Air Miles,Postcard,Medium,1,No,Low,2,1,5,Yes,736.75
10483,No,Cash Back,Letter,Medium,1,No,Low,3,2,3,Yes,699.75
10484,No,Air Miles,Letter,Medium,1,No,Low,1,1,4,Yes,1016.5
10485,No,Cash Back,Letter,Medium,1,Yes,Low,2,1,3,No,1757.5
10486,No,Points,Postcard,Medium,1,Yes,Medium,1,1,4,Yes,815.75
10487,No,Points,Postcard,Medium,1,No,High,1,2,3,Yes,813.25
10488,No,Points,Postcard,Medium,1,No,Low,2,1,4,No,1035.25
10489,No,Cash Back,Letter,Medium,1,No,Low,3,1,3,Yes,926.25
10490,No,Air Miles,Postcard,Low,1,No,Medium,1,1,6,Yes,1149
10491,No,Points,Letter,Medium,1,No,Low,2,1,4,Yes,1051.25
10492,No,Cash Back,Postcard,Low,1,No,High,1,1,2,Yes,874
10493,No,Air Miles,Postcard,Medium,1,No,Medium,2,1,3,No,1243.75
10494,No,Cash Back,Postcard,Medium,3,No,High,1,1,4,No,973
10495,No,Air Miles,Letter,Medium,1,No,Medium,2,1,5,Yes,1125.75
10496,Yes,Air Miles,Postcard,Medium,2,No,Low,2,1,4,No,1203
10497,No,Cash Back,Letter,Low,1,No,Medium,3,2,2,Yes,682.5
10498,No,Cash Back,Letter,Low,1,No,Low,1,2,3,Yes,1009.25
10499,No,Points,Letter,Medium,1,No,High,1,1,4,Yes,813.5
10500,No,Air Miles,Letter,Medium,1,Yes,Medium,2,1,6,Yes,1141.5
10501,No,Air Miles,Postcard,Medium,1,No,High,1,1,5,Yes,800.25
10502,No,Air Miles,Letter,High,2,No,Low,2,2,3,Yes,1066.25
10503,No,Air Miles,Letter,Medium,2,No,Medium,1,1,3,No,1419.75
10504,No,Air Miles,Postcard,Low,2,No,Low,2,3,4,No,920.5
10505,No,Air Miles,Postcard,High,2,No,Medium,2,1,2,Yes,1020
10506,No,Points,Postcard,Medium,1,No,High,2,2,2,Yes,756.25
10507,No,Cash Back,Letter,Medium,1,No,Medium,2,1,4,No,1012.5
10508,No,Points,Postcard,High,1,No,High,2,1,3,Yes,1165.5
10509,No,Cash Back,Letter,High,1,No,High,2,2,3,Yes,225
10510,No,Air Miles,Letter,High,1,Yes,Low,2,1,4,Yes,1219.75
10511,Yes,Air Miles,Postcard,Low,1,No,Low,4,1,4,Yes,806.5
10512,No,Points,Letter,Medium,1,No,Medium,2,1,3,Yes,1066.75
10513,No,Cash Back,Postcard,Medium,1,No,Medium,2,1,4,Yes,977
10514,No,Cash Back,Postcard,Medium,1,No,High,2,2,4,Yes,1210.5
10515,No,Air Miles,Letter,High,1,No,Medium,3,2,4,Yes,795
10516,No,Air Miles,Postcard,High,1,No,Low,1,1,5,Yes,1043.75
10517,No,Points,Postcard,Medium,1,No,High,2,1,4,Yes,1109
10518,No,Points,Letter,Medium,1,Yes,Medium,1,1,2,Yes,877.75
10519,No,Points,Letter,Medium,1,No,Medium,2,2,6,Yes,365.25
10520,No,Cash Back,Letter,Medium,2,No,High,1,2,3,Yes,1315
10521,No,Cash Back,Letter,Medium,1,No,Medium,3,1,5,Yes,1139.75
10522,No,Points,Letter,Medium,1,No,Low,2,1,3,Yes,726.25
10523,No,Cash Back,Letter,Medium,1,No,High,2,1,3,Yes,1014
10524,No,Cash Back,Letter,Low,1,No,Low,3,1,3,No,228.5
10525,No,Points,Letter,Low,2,Yes,Medium,3,1,2,Yes,728
10526,No,Cash Back,Postcard,Medium,2,No,Medium,3,1,4,Yes,1199.75
10527,No,Cash Back,Letter,Medium,1,No,Low,3,1,4,Yes,1675.25
10528,No,Air Miles,Letter,Medium,1,No,High,1,2,5,No,999
10529,No,Cash Back,Letter,High,1,Yes,Low,2,1,2,Yes,301.25
10530,No,Points,Postcard,Medium,2,No,Low,2,1,3,No,1068
10531,No,Points,Postcard,Medium,1,No,Medium,1,1,4,No,957
10532,No,Points,Letter,Low,2,No,High,2,1,4,Yes,1017.5
10533,No,Air Miles,Postcard,Low,1,No,Medium,3,2,3,Yes,998
10534,No,Points,Letter,Low,1,Yes,Low,1,2,1,No,1200.25
10535,No,Air Miles,Letter,High,1,No,High,2,1,2,No,620.25
10536,No,Cash Back,Postcard,Medium,2,No,Medium,1,1,3,Yes,653
10537,No,Points,Postcard,Low,1,No,Medium,2,1,5,Yes,1320.25
10538,No,Cash Back,Postcard,Medium,1,Yes,Medium,3,1,1,Yes,1157.5
10539,No,Cash Back,Letter,Medium,2,No,Medium,1,1,4,Yes,274.5
10540,No,Points,Postcard,Medium,1,No,Low,1,1,3,No,692.5
10541,No,Points,Postcard,Medium,1,No,Medium,1,1,2,Yes,393.5
10542,No,Air Miles,Letter,Medium,1,No,Medium,2,1,3,Yes,429.5
10543,No,Cash Back,Letter,Medium,2,No,Low,3,1,5,Yes,1232.5
10544,No,Air Miles,Postcard,Low,1,No,Medium,3,1,3,Yes,1120.75
10545,No,Air Miles,Letter,High,1,No,High,2,1,2,No,1128.75
10546,No,Air Miles,Postcard,Medium,2,Yes,Low,3,1,3,No,1721.5
10547,No,Cash Back,Postcard,High,1,No,Medium,3,1,3,Yes,877.5
10548,No,Points,Postcard,High,1,No,Low,2,1,4,No,1095.75
10549,No,Points,Letter,Medium,1,No,Low,2,1,3,No,865.75
10550,No,Air Miles,Letter,Medium,2,No,High,1,2,5,No,1373.25
10551,No,Cash Back,Postcard,Medium,1,No,High,2,1,4,No,1333.25
10552,No,Air Miles,Letter,Medium,1,No,Low,2,1,2,Yes,1514
10553,No,Cash Back,Postcard,High,1,No,Medium,2,1,4,Yes,958
10554,No,Points,Postcard,Low,1,No,Medium,2,1,2,Yes,1252.75
10555,Yes,Cash Back,Postcard,Medium,1,No,Low,1,3,4,No,1044.5
10556,No,Points,Postcard,Medium,1,No,Medium,2,1,4,Yes,1199
10557,No,Points,Postcard,Low,1,No,Medium,2,2,4,No,1386.25
10558,No,Cash Back,Letter,Low,1,No,Medium,2,1,3,No,988.25
10559,No,Cash Back,Letter,Medium,2,No,Low,1,1,5,Yes,1030
10560,No,Cash Back,Postcard,High,2,No,Low,3,1,4,No,1041.75
10561,No,Cash Back,Postcard,Medium,1,No,Medium,2,1,4,Yes,772.5
10562,No,Points,Letter,Low,1,No,Low,1,1,5,No,412
10563,No,Cash Back,Postcard,Medium,1,No,Medium,2,1,4,Yes,205.5
10564,No,Points,Letter,Low,1,No,High,1,1,4,No,1006.75
10565,No,Points,Postcard,High,1,No,High,2,1,3,Yes,1022.5
10566,No,Points,Letter,Low,1,No,High,2,1,4,No,1002
10567,No,Points,Letter,High,1,No,Medium,2,1,4,Yes,1018
10568,No,Points,Letter,High,2,Yes,Low,1,2,4,Yes,184.5
10569,No,Air Miles,Postcard,Medium,1,Yes,High,2,1,1,Yes,912
10570,No,Air Miles,Postcard,High,1,No,Medium,2,1,2,Yes,280.25
10571,No,Air Miles,Postcard,Medium,1,No,High,2,1,3,Yes,1255.75
10572,No,Points,Letter,Medium,1,No,Medium,1,1,2,Yes,980.25
10573,No,Points,Letter,Medium,1,No,Low,3,1,2,No,1185.75
10574,No,Air Miles,Letter,Medium,2,No,Medium,1,1,3,No,1046.75
10575,No,Air Miles,Letter,Low,1,No,High,1,2,5,Yes,855.75
10576,No,Air Miles,Postcard,Medium,2,No,High,3,1,4,No,1848.75
10577,No,Points,Letter,Medium,3,No,High,1,1,2,Yes,2609.5
10578,No,Air Miles,Letter,Medium,1,No,High,1,3,2,Yes,1321.25
10579,No,Points,Postcard,High,1,No,Medium,1,1,3,No,1375.25
10580,No,Cash Back,Letter,High,2,No,Low,2,1,4,Yes,1183
10581,No,Cash Back,Postcard,Medium,1,No,High,1,1,3,No,577.75
10582,No,Air Miles,Postcard,High,2,No,High,1,1,4,No,324.75
10583,No,Points,Letter,High,1,No,Medium,1,1,4,No,1124.25
10584,No,Points,Letter,High,1,No,Medium,1,2,3,Yes,988.5
10585,No,Points,Postcard,Low,1,Yes,Medium,2,1,4,Yes,843
10586,No,Air Miles,Postcard,Low,1,Yes,Medium,1,1,3,Yes,771.5
10587,Yes,Points,Postcard,Low,1,Yes,Low,3,2,5,Yes,326.75
10588,No,Cash Back,Letter,Medium,1,No,High,3,1,4,No,1310.25
10589,No,Air Miles,Letter,Medium,1,No,High,2,1,4,No,256
10590,No,Points,Letter,Medium,1,Yes,High,2,2,5,Yes,1370
10591,No,Cash Back,Postcard,Medium,1,No,High,2,1,2,No,947
10592,No,Air Miles,Letter,Medium,1,No,Medium,1,1,3,Yes,1244.25
10593,No,Points,Letter,Medium,1,No,Medium,1,1,5,Yes,1096.5
10594,No,Points,Letter,Medium,2,Yes,Low,1,1,4,No,235
10595,No,Points,Letter,Medium,1,No,High,3,1,5,Yes,1055.25
10596,No,Air Miles,Postcard,Medium,1,No,Medium,1,1,4,Yes,864.5
10597,No,Air Miles,Postcard,Medium,1,No,Medium,1,1,4,Yes,918.75
10598,No,Air Miles,Postcard,Medium,1,Yes,Low,3,1,4,Yes,1145.75
10599,No,Cash Back,Postcard,Medium,1,No,Low,2,1,2,Yes,798.25
10600,No,Points,Letter,Medium,1,No,Low,1,1,3,Yes,710
10601,No,Points,Letter,Low,1,Yes,Low,2,1,4,Yes,1164
10602,No,Points,Letter,Low,1,No,Medium,1,2,4,No,1449.5
10603,No,Points,Letter,Low,1,No,Low,2,1,4,Yes,936.75
10604,No,Cash Back,Letter,Medium,1,No,Low,2,2,3,Yes,1397.75
10605,No,Points,Postcard,High,2,No,High,1,1,3,Yes,738.75
10606,No,Air Miles,Letter,Medium,1,No,Medium,3,1,6,Yes,1172
10607,No,Points,Postcard,Low,1,No,High,4,1,4,No,1118.75
10608,No,Points,Postcard,Medium,1,Yes,Medium,2,1,2,No,1364.75
10609,No,Points,Postcard,High,3,Yes,Medium,2,1,3,Yes,1035
10610,No,Points,Postcard,Medium,1,No,Medium,1,1,4,Yes,960.5
10611,No,Points,Postcard,Medium,1,No,High,2,1,5,Yes,792
10612,No,Cash Back,Postcard,Low,1,No,Medium,3,1,4,Yes,855
10613,No,Points,Postcard,High,1,Yes,Medium,1,1,5,No,303.25
10614,No,Cash Back,Postcard,High,1,No,Low,1,2,4,Yes,1269.25
